,ward,alderman,address,zip
0,61,"Proco ""Joe"" Moreno",2058 NORTH WESTERN AVENUE,60647
1,2,Brian Hopkins,1400 NORTH  ASHLAND AVENUE,60622
2,3,Pat Dowell,5046 SOUTH STATE STREET,60609
3,4,William D. Burns,"435 EAST 35TH STREET, 1ST FLOOR",60616
4,5,Leslie A. Hairston,2325 EAST 71ST STREET,60649
5,6,Roderick T. Sawyer,8001 S. MARTIN LUTHER KING DRIVE,60619
6,7,Gregory I. Mitchell,2249 EAST 95TH STREET,60617
7,8,Michelle A. Harris,8539 SOUTH COTTAGE GROVE AVENUE,60619
8,9,Anthony A. Beale,34 EAST 112TH PLACE,60628
9,10,Susan Sadlowski Garza,10500 SOUTH EWING AVENUE,60617
10,11,Patrick Daley Thompson,3659 SOUTH HALSTED STREET,60609
11,12,George Cardenas,3476 SOUTH ARCHER AVENUE,60608
12,13,Marty Quinn,6500 SOUTH PULASKI ROAD,60629
13,14,Edward M. Burke,2650 WEST 51ST STREET,60632
14,15,Raymond A. Lopez,1650 WEST 63RD STREET,60636
15,16,Toni L. Foulkes,3045 WEST 63RD STREET,60629
16,17,David H. Moore,7313 SOUTH ASHLAND AVENUE,60636
17,18,Derrick G. Curtis,8359 SOUTH PULASKI ROAD,60652
18,19,Matthew J. O'Shea,10400 SOUTH WESTERN AVENUE,60643
19,20,Willie B. Cochran,6357 SOUTH COTTAGE GROVE AVENUE,60637
20,21,"Howard B. Brookins, Jr.","9011 SOUTH ASHLAND AVENUE, UNIT B",60620
21,22,Ricardo Munoz,2500 SOUTH ST. LOUIS AVENUE,60623
22,23,Michael R. Zalewski,6247 SOUTH ARCHER AVENUE,60638
23,24,"Michael Scott, Jr.",1158 SOUTH KEELER AVENUE,60624
24,25,"Daniel ""Danny"" Solis",1800 SOUTH BLUE ISLAND AVENUE,60608
25,26,Roberto Maldonado,2511 WEST DIVISION STREET,60622
26,27,"Walter Burnett, Jr.",4 NORTH WESTERN AVENUE,60612
27,28,Jason C. Ervin,2602 WEST 16TH STREET,60612
28,29,Chris Taliaferro,6272 WEST NORTH AVENUE,60639
29,30,Ariel E. Reyboras,3559 NORTH MILWAUKEE AVENUE,60641
30,31,"Milagros ""Milly"" Santiago",2521 NORTH PULASKI ROAD,60639
31,32,Scott Waguespack,2657 NORTH CLYBOURN AVENUE,60614
32,33,Deborah Mell,3001 WEST IRVING PARK ROAD,60618
33,34,Carrie M. Austin,507 WEST 111TH STREET,60628
34,35,Carlos Ramirez-Rosa,2710 NORTH SAWYER AVENUE,60647
35,36,Gilbert Villegas,6934 WEST DIVERSEY,60607
36,37,Emma M. Mitts,4924 WEST CHICAGO AVENUE,60651
37,38,Nicholas Sposato,3821  NORTH HARLEM AVENUE,60634
38,39,Margaret Laurino,4404 WEST LAWRENCE AVENUE,60630
39,40,Patrick J. O'Connor,5850 NORTH LINCOLN AVENUE,60659
40,41,Anthony V. Napolitano,7442 NORTH HARLEM AVENUE,60631
41,42,Brendan Reilly,"325 WEST HURON STREET, SUITE 510",60654
42,43,Michelle Smith,2523 NORTH HALSTED STREET,60614
43,44,Tom Tunney,3223 NORTH SHEFFIELD AVENUE,60657
44,45,John S. Arena,4754 NORTH MILWAUKEE AVENUE,60630
45,46,James Cappleman,4544 NORTH BROADWAY AVENUE,60640
46,47,Ameya Pawar,4243 NORTH LINCOLN AVENUE,60618
47,48,Harry Osterman,5533 NORTH BROADWAY AVENUE,60640
48,49,Joe Moore,7356 NORTH GREENVIEW AVENUE,60626
49,50,Debra L. Silverstein,"2949 WEST DEVON AVENUE, SUITE A",60659
