,zip,income
0,60630,70122
1,60640,50488
2,60622,87143
3,60614,100116
4,60608,41226
5,60618,66246
6,60647,68223
7,60636,27573
8,60639,41307
9,60628,38206
10,60612,38756
11,60617,38417
12,60659,50554
13,60619,32558
14,60629,41856
15,60609,33959
16,60641,33959
17,60632,42335
18,60631,82226
19,60643,59488
20,60637,28024
21,60649,24941
22,60638,67045
23,60623,31445
24,60654,104629
25,60651,36283
26,60657,88708
27,60607,92240
28,60620,33304
29,60616,46340
30,60624,22467
31,60652,65770
32,60634,62223
33,60626,39163
34,60633,50164
35,60613,79565
36,60610,81567
37,60601,110215
38,60625,63106
39,60615,41679
40,60655,94524
41,60642,92797
42,60611,96040
43,60606,139179
44,60707,55566
45,60603,140114
46,60621,19845
47,60656,60575
48,60661,104714
49,60604,114565
50,60605,107811
51,60646,86534
52,60645,50589
53,60173,79024
54,60602,115774
55,60660,45442
56,60653,28411
57,60827,31008
58,60007,73026
59,60666,62992
60,60644,61229
61,53045,100438
62,60076,74964
63,60126,103454
64,60458,47411
65,60423,100098
